,index,Event,Recruit,Walk On,Tryout,College,Team,Recruit numeric,Walk On numeric,Tryout numeric
44,4,400m,47.62,49.34,51.24,Auburn University,mens,47.62,49.34,51.24
45,5,300m H,37.65,38.45,39.40,Auburn University,mens,37.65,38.45,39.4
46,6,200m,20.63,21.30,21.98,Auburn University,mens,20.63,21.3,21.98
47,7,110m H,14.52,14.58,14.66,Auburn University,mens,14.52,14.58,14.66
48,8,100m,10.19,10.68,11.26,Auburn University,mens,10.19,10.68,11.26
49,9,Discus,184' 4,170' 10,154' 8,Auburn University,mens,2212.0,2050.0,1856.0
50,10,High Jump,6' 8,6' 3,6' 2,Auburn University,mens,80.0,75.0,74.0
51,11,Javelin,215' 0,209' 1,192' 9,Auburn University,mens,2580.0,2509.0,2313.0
52,12,Long Jump,22' 8,21' 7,21' 0,Auburn University,mens,272.0,259.0,252.0
53,13,Pole Vault,16' 3,15' 8,13' 9,Auburn University,mens,195.0,188.0,165.0
54,14,Shot Put,61' 3,56' 11,51' 0,Auburn University,mens,735.0,683.0,612.0
55,15,Triple Jump,48' 6,44' 5,42' 3,Auburn University,mens,582.0,533.0,507.0
56,0,5K XC,17:59,19:02,19:59,Auburn University,womens,1079.0,1142.0,1199.0
57,1,3200m,10:49,10:58,11:07,Auburn University,womens,649.0,658.0,667.0
58,2,1600m,5:01,5:09,5:15,Auburn University,womens,301.0,309.0,315.0
59,3,800m,2:14,2:17,2:19,Auburn University,womens,134.0,137.0,139.0
60,4,400m,54.54,57.60,58.64,Auburn University,womens,54.54,57.6,58.64
61,5,300m H,42.88,44.66,46.08,Auburn University,womens,42.88,44.66,46.08
62,6,200m,24.24,25.27,27.29,Auburn University,womens,24.24,25.27,27.29
63,7,100m,11.62,11.97,12.26,Auburn University,womens,11.62,11.97,12.26
64,8,100m H,14.01,14.32,14.89,Auburn University,womens,14.01,14.32,14.89
65,9,Discus,148' 10,146' 4,134' 2,Auburn University,womens,1786.0,1756.0,1610.0
66,10,High Jump,5' 11,5' 6,5' 0,Auburn University,womens,71.0,66.0,60.0
67,11,Javelin,140' 3,135' 7,129' 10,Auburn University,womens,1683.0,1627.0,1558.0
68,12,Long Jump,18' 5,17' 4,16' 6,Auburn University,womens,221.0,208.0,198.0
69,13,Shot Put,49' 0,44' 3,37' 5,Auburn University,womens,588.0,531.0,449.0
70,14,Triple Jump,40' 0,37' 4,35' 10,Auburn University,womens,480.0,448.0,430.0
71,0,5K XC,16:36,17:06,17:41,Babson College,mens,996.0,1026.0,1061.0
72,1,3200m,9:56,10:09,10:20,Babson College,mens,596.0,609.0,620.0
73,2,1600m,4:38,4:44,4:50,Babson College,mens,278.0,284.0,290.0
74,3,800m,1:59,2:06,2:12,Babson College,mens,119.0,126.0,132.0
75,4,400m,52.53,54.72,56.99,Babson College,mens,52.53,54.72,56.99
76,5,300m H,41.25,42.59,43.44,Babson College,mens,41.25,42.59,43.44
77,6,200m,23.97,24.84,26.04,Babson College,mens,23.97,24.84,26.04
78,7,110m H,15.31,16.03,16.23,Babson College,mens,15.31,16.03,16.23
79,8,100m,11.46,11.74,12.03,Babson College,mens,11.46,11.74,12.03
80,9,Long Jump,21' 1,20' 8,19' 11,Babson College,mens,253.0,248.0,239.0
81,0,5K XC,20:58,22:19,24:01,Babson College,womens,1258.0,1339.0,1441.0
82,1,3200m,12:57,14:20,15:39,Babson College,womens,777.0,860.0,939.0
83,2,1600m,5:44,5:49,5:53,Babson College,womens,344.0,349.0,353.0
84,3,800m,2:33,2:37,2:40,Babson College,womens,153.0,157.0,160.0
85,4,400m,1:04,1:07,1:10,Babson College,womens,64.0,67.0,70.0
86,5,300m H,48.03,50.03,50.69,Babson College,womens,48.03,50.03,50.69
87,6,200m,27.86,28.40,29.84,Babson College,womens,27.86,28.4,29.84
88,7,100m,13.43,13.77,13.94,Babson College,womens,13.43,13.77,13.94
89,8,100m H,15.31,16.12,16.30,Babson College,womens,15.31,16.12,16.3
90,0,5K XC,16:25,17:11,18:02,Bates College,mens,985.0,1031.0,1082.0
91,1,3200m,9:43,10:04,10:17,Bates College,mens,583.0,604.0,617.0
92,2,1600m,4:31,4:41,4:56,Bates College,mens,271.0,281.0,296.0
93,3,800m,1:59,2:04,2:08,Bates College,mens,119.0,124.0,128.0
94,4,400m,53.02,53.65,54.73,Bates College,mens,53.02,53.65,54.73
95,5,300m H,41.89,42.50,43.44,Bates College,mens,41.89,42.5,43.44
96,6,200m,23.16,24.62,27.15,Bates College,mens,23.16,24.62,27.15
97,7,110m H,15.32,15.80,16.50,Bates College,mens,15.32,15.8,16.5
98,8,100m,11.31,11.80,12.22,Bates College,mens,11.31,11.8,12.22
99,9,Discus,144' 1,140' 4,138' 7,Bates College,mens,1729.0,1684.0,1663.0
100,10,High Jump,6' 0,5' 11,5' 10,Bates College,mens,72.0,71.0,70.0
101,11,Shot Put,48' 2,47' 5,46' 4,Bates College,mens,578.0,569.0,556.0
102,0,5K XC,19:17,20:26,22:23,Bates College,womens,1157.0,1226.0,1343.0
103,1,3200m,11:41,12:11,12:41,Bates College,womens,701.0,731.0,761.0
104,2,1600m,5:25,5:37,5:52,Bates College,womens,325.0,337.0,352.0
105,3,800m,2:25,2:32,2:38,Bates College,womens,145.0,152.0,158.0
106,4,400m,1:02,1:05,1:06,Bates College,womens,62.0,65.0,66.0
107,5,300m H,46.69,47.50,47.89,Bates College,womens,46.69,47.5,47.89
108,6,200m,27.24,28.51,30.23,Bates College,womens,27.24,28.51,30.23
109,7,100m,13.14,13.38,13.57,Bates College,womens,13.14,13.38,13.57
110,8,100m H,15.80,16.53,17.47,Bates College,womens,15.8,16.53,17.47
111,9,Triple Jump,34' 10,34' 6,33' 11,Bates College,womens,418.0,414.0,407.0
112,0,5K XC,15:36,16:14,16:59,Baylor University,mens,936.0,974.0,1019.0
113,1,3200m,9:23,9:36,9:46,Baylor University,mens,563.0,576.0,586.0
114,2,1600m,4:18,4:24,4:29,Baylor University,mens,258.0,264.0,269.0
115,3,800m,1:54,1:56,1:58,Baylor University,mens,114.0,116.0,118.0
116,4,400m,46.57,47.82,49.55,Baylor University,mens,46.57,47.82,49.55
117,5,300m H,37.58,37.99,38.95,Baylor University,mens,37.58,37.99,38.95
118,6,200m,20.84,21.54,22.20,Baylor University,mens,20.84,21.54,22.2
119,7,110m H,13.73,14.43,14.82,Baylor University,mens,13.73,14.43,14.82
120,8,100m,10.31,10.63,10.95,Baylor University,mens,10.31,10.63,10.95
121,9,Discus,171' 1,166' 5,158' 1,Baylor University,mens,2053.0,1997.0,1897.0
122,10,High Jump,6' 4,6' 2,6' 0,Baylor University,mens,76.0,74.0,72.0
123,11,Long Jump,23' 10,22' 3,20' 9,Baylor University,mens,286.0,267.0,249.0
124,12,Pole Vault,17' 3,16' 0,14' 10,Baylor University,mens,207.0,192.0,178.0
125,13,Shot Put,62' 0,57' 6,54' 9,Baylor University,mens,744.0,690.0,657.0
126,14,Triple Jump,49' 6,45' 1,42' 2,Baylor University,mens,594.0,541.0,506.0
127,0,5K XC,18:28,19:21,20:09,Baylor University,womens,1108.0,1161.0,1209.0
128,1,3200m,10:58,11:18,11:45,Baylor University,womens,658.0,678.0,705.0
129,2,1600m,4:56,5:10,5:29,Baylor University,womens,296.0,310.0,329.0
130,3,800m,2:12,2:20,2:25,Baylor University,womens,132.0,140.0,145.0
131,4,400m,53.76,55.58,57.47,Baylor University,womens,53.76,55.58,57.47
132,5,300m H,42.45,44.01,45.61,Baylor University,womens,42.45,44.01,45.61
133,6,200m,23.52,24.51,25.25,Baylor University,womens,23.52,24.51,25.25
134,7,100m,11.31,11.86,12.80,Baylor University,womens,11.31,11.86,12.8
135,8,100m H,14.36,14.85,15.60,Baylor University,womens,14.36,14.85,15.6
136,9,High Jump,5' 6,5' 4,5' 0,Baylor University,womens,66.0,64.0,60.0
137,10,Long Jump,19' 5,18' 1,16' 11,Baylor University,womens,233.0,217.0,203.0
138,11,Pole Vault,12' 9,11' 11,10' 10,Baylor University,womens,153.0,143.0,130.0
139,12,Triple Jump,37' 5,35' 5,34' 10,Baylor University,womens,449.0,425.0,418.0
140,0,5K XC,15:10,15:38,16:15,Belmont University,mens,910.0,938.0,975.0
141,1,3200m,9:17,9:27,9:39,Belmont University,mens,557.0,567.0,579.0
142,2,1600m,4:17,4:21,4:28,Belmont University,mens,257.0,261.0,268.0
143,3,800m,1:54,1:58,2:02,Belmont University,mens,114.0,118.0,122.0
144,4,400m,49.69,52.19,54.73,Belmont University,mens,49.69,52.19,54.73
145,5,300m H,38.86,39.65,41.36,Belmont University,mens,38.86,39.65,41.36
146,6,200m,22.28,23.12,24.05,Belmont University,mens,22.28,23.12,24.05
147,7,110m H,14.47,14.59,14.71,Belmont University,mens,14.47,14.59,14.71
148,8,100m,10.98,11.19,11.48,Belmont University,mens,10.98,11.19,11.48
149,9,Discus,159' 0,147' 3,143' 10,Belmont University,mens,1908.0,1767.0,1726.0
150,10,High Jump,6' 5,6' 2,6' 0,Belmont University,mens,77.0,74.0,72.0
151,11,Long Jump,21' 3,20' 10,19' 11,Belmont University,mens,255.0,250.0,239.0
152,12,Pole Vault,14' 3,14' 0,13' 6,Belmont University,mens,171.0,168.0,162.0
153,13,Shot Put,57' 1,56' 7,56' 3,Belmont University,mens,685.0,679.0,675.0
154,0,5K XC,18:06,18:36,19:17,Belmont University,womens,1086.0,1116.0,1157.0
155,1,3200m,10:56,11:08,11:19,Belmont University,womens,656.0,668.0,679.0
156,2,1600m,5:05,5:09,5:13,Belmont University,womens,305.0,309.0,313.0
157,3,800m,2:20,2:23,2:25,Belmont University,womens,140.0,143.0,145.0
158,4,400m,56.75,59.50,1:01,Belmont University,womens,56.75,59.5,61.0
159,5,300m H,44.26,45.94,47.85,Belmont University,womens,44.26,45.94,47.85
160,6,200m,25.00,26.89,28.19,Belmont University,womens,25.0,26.89,28.19
161,7,100m,12.19,12.52,12.86,Belmont University,womens,12.19,12.52,12.86
162,8,100m H,15.06,16.14,17.34,Belmont University,womens,15.06,16.14,17.34
163,9,Discus,133' 4,130' 7,122' 2,Belmont University,womens,1600.0,1567.0,1466.0
164,10,High Jump,5' 5,5' 4,5' 3,Belmont University,womens,65.0,64.0,63.0
165,11,Long Jump,16' 9,16' 8,16' 5,Belmont University,womens,201.0,200.0,197.0
166,12,Pole Vault,11' 1,10' 8,9' 10,Belmont University,womens,133.0,128.0,118.0
167,13,Shot Put,40' 9,38' 10,35' 8,Belmont University,womens,489.0,466.0,428.0
168,0,5K XC,15:53,16:22,16:55,Boston College,mens,953.0,982.0,1015.0
169,1,3200m,9:22,9:29,9:35,Boston College,mens,562.0,569.0,575.0
170,2,1600m,4:19,4:24,4:34,Boston College,mens,259.0,264.0,274.0
171,3,800m,1:55,1:58,2:06,Boston College,mens,115.0,118.0,126.0
172,4,400m,49.69,50.64,51.49,Boston College,mens,49.69,50.64,51.49
173,5,300m H,38.77,40.06,41.17,Boston College,mens,38.77,40.06,41.17
174,6,200m,22.24,22.93,23.85,Boston College,mens,22.24,22.93,23.85
175,7,110m H,14.53,14.96,15.41,Boston College,mens,14.53,14.96,15.41
176,8,100m,11.15,11.61,11.80,Boston College,mens,11.15,11.61,11.8
177,0,5K XC,18:06,18:59,20:04,Boston College,womens,1086.0,1139.0,1204.0
178,1,3200m,10:47,11:07,11:44,Boston College,womens,647.0,667.0,704.0
179,2,1600m,5:01,5:08,5:15,Boston College,womens,301.0,308.0,315.0
180,3,800m,2:14,2:18,2:22,Boston College,womens,134.0,138.0,142.0
181,4,400m,57.21,59.14,1:04,Boston College,womens,57.21,59.14,64.0
182,5,300m H,45.07,46.40,46.99,Boston College,womens,45.07,46.4,46.99
183,6,200m,25.35,26.19,27.78,Boston College,womens,25.35,26.19,27.78
184,7,100m,12.42,12.83,13.25,Boston College,womens,12.42,12.83,13.25
185,8,100m H,14.52,14.86,15.35,Boston College,womens,14.52,14.86,15.35
186,9,High Jump,5' 6,5' 4,4' 11,Boston College,womens,66.0,64.0,59.0
187,10,Long Jump,18' 1,17' 6,16' 9,Boston College,womens,217.0,210.0,201.0
188,11,Triple Jump,37' 6,35' 7,34' 6,Boston College,womens,450.0,427.0,414.0
189,0,5K XC,15:42,16:23,17:19,Boston University,mens,942.0,983.0,1039.0
190,1,3200m,9:20,9:29,9:37,Boston University,mens,560.0,569.0,577.0
191,2,1600m,4:20,4:24,4:28,Boston University,mens,260.0,264.0,268.0
192,3,800m,1:55,1:59,2:02,Boston University,mens,115.0,119.0,122.0
193,4,400m,48.56,49.43,50.13,Boston University,mens,48.56,49.43,50.13
194,5,300m H,40.23,40.80,41.48,Boston University,mens,40.23,40.8,41.48
195,6,200m,21.51,22.27,23.56,Boston University,mens,21.51,22.27,23.56
196,7,110m H,15.40,15.73,16.16,Boston University,mens,15.4,15.73,16.16
197,8,100m,10.79,10.87,11.04,Boston University,mens,10.79,10.87,11.04
198,9,Discus,155' 8,151' 4,143' 8,Boston University,mens,1868.0,1816.0,1724.0
199,10,High Jump,6' 0,5' 8,5' 4,Boston University,mens,72.0,68.0,64.0
200,11,Javelin,169' 8,156' 6,143' 2,Boston University,mens,2036.0,1878.0,1718.0
201,12,Long Jump,21' 11,21' 0,20' 5,Boston University,mens,263.0,252.0,245.0
202,13,Pole Vault,14' 10,14' 2,13' 8,Boston University,mens,178.0,170.0,164.0
203,14,Shot Put,56' 11,53' 10,50' 3,Boston University,mens,683.0,646.0,603.0
204,15,Triple Jump,46' 7,43' 11,42' 8,Boston University,mens,559.0,527.0,512.0
205,0,5K XC,18:57,19:47,21:00,Boston University,womens,1137.0,1187.0,1260.0
206,1,3200m,10:58,11:24,11:57,Boston University,womens,658.0,684.0,717.0
207,2,1600m,5:03,5:10,5:14,Boston University,womens,303.0,310.0,314.0
208,3,800m,2:17,2:23,2:27,Boston University,womens,137.0,143.0,147.0
209,4,400m,56.52,57.85,58.71,Boston University,womens,56.52,57.85,58.71
210,5,300m H,44.17,45.00,46.11,Boston University,womens,44.17,45.0,46.11
211,6,200m,24.45,25.22,26.49,Boston University,womens,24.45,25.22,26.49
212,7,100m,12.02,12.36,12.64,Boston University,womens,12.02,12.36,12.64
213,8,100m H,14.16,14.91,16.20,Boston University,womens,14.16,14.91,16.2
214,9,Discus,130' 6,116' 5,108' 8,Boston University,womens,1566.0,1397.0,1304.0
215,10,High Jump,5' 4,5' 2,5' 0,Boston University,womens,64.0,62.0,60.0
216,11,Long Jump,18' 11,17' 5,15' 8,Boston University,womens,227.0,209.0,188.0
217,12,Pole Vault,11' 4,10' 11,10' 4,Boston University,womens,136.0,131.0,124.0
218,13,Shot Put,42' 7,38' 7,35' 11,Boston University,womens,511.0,463.0,431.0
219,14,Triple Jump,38' 5,37' 3,35' 1,Boston University,womens,461.0,447.0,421.0
220,0,5K XC,16:52,17:27,18:34,Bowdoin College,mens,1012.0,1047.0,1114.0
221,1,3200m,9:58,10:23,10:41,Bowdoin College,mens,598.0,623.0,641.0
222,2,1600m,4:30,4:43,4:54,Bowdoin College,mens,270.0,283.0,294.0
223,3,800m,2:02,2:09,2:15,Bowdoin College,mens,122.0,129.0,135.0
224,4,400m,51.24,54.02,57.07,Bowdoin College,mens,51.24,54.02,57.07
225,5,300m H,39.76,40.67,43.94,Bowdoin College,mens,39.76,40.67,43.94
226,6,200m,22.64,22.83,23.14,Bowdoin College,mens,22.64,22.83,23.14
227,7,110m H,14.84,15.43,16.32,Bowdoin College,mens,14.84,15.43,16.32
228,8,100m,11.35,11.86,12.31,Bowdoin College,mens,11.35,11.86,12.31
229,9,Discus,145' 9,141' 7,137' 6,Bowdoin College,mens,1749.0,1699.0,1650.0
230,10,High Jump,6' 0,6' 0,5' 11,Bowdoin College,mens,72.0,72.0,71.0
231,11,Javelin,155' 4,153' 9,151' 4,Bowdoin College,mens,1864.0,1845.0,1816.0
232,12,Long Jump,22' 9,21' 2,20' 3,Bowdoin College,mens,273.0,254.0,243.0
233,13,Pole Vault,13' 9,13' 4,13' 0,Bowdoin College,mens,165.0,160.0,156.0
234,14,Shot Put,47' 9,47' 3,46' 7,Bowdoin College,mens,573.0,567.0,559.0
235,15,Triple Jump,45' 3,42' 8,42' 0,Bowdoin College,mens,543.0,512.0,504.0
236,0,5K XC,19:42,20:44,21:47,Bowdoin College,womens,1182.0,1244.0,1307.0
237,1,3200m,12:03,12:25,12:45,Bowdoin College,womens,723.0,745.0,765.0
238,2,1600m,5:11,5:19,5:28,Bowdoin College,womens,311.0,319.0,328.0
239,3,800m,2:22,2:31,2:40,Bowdoin College,womens,142.0,151.0,160.0
240,4,400m,1:00,1:04,1:06,Bowdoin College,womens,60.0,64.0,66.0
241,5,300m H,47.23,48.24,49.53,Bowdoin College,womens,47.23,48.24,49.53
242,6,200m,26.51,27.68,28.65,Bowdoin College,womens,26.51,27.68,28.65
243,7,100m,12.73,13.49,13.93,Bowdoin College,womens,12.73,13.49,13.93
244,8,100m H,15.42,16.36,17.46,Bowdoin College,womens,15.42,16.36,17.46
245,9,Discus,117' 10,117' 1,115' 4,Bowdoin College,womens,1414.0,1405.0,1384.0
246,10,High Jump,5' 1,5' 0,4' 11,Bowdoin College,womens,61.0,60.0,59.0
247,11,Javelin,110' 8,107' 1,97' 4,Bowdoin College,womens,1328.0,1285.0,1168.0
248,12,Long Jump,17' 2,16' 8,16' 6,Bowdoin College,womens,206.0,200.0,198.0
249,13,Pole Vault,11' 9,11' 2,10' 7,Bowdoin College,womens,141.0,134.0,127.0
250,14,Shot Put,37' 2,35' 6,33' 10,Bowdoin College,womens,446.0,426.0,406.0
251,0,5K XC,16:36,17:46,19:19,Brandeis University,mens,996.0,1066.0,1159.0
252,1,3200m,9:59,10:11,10:15,Brandeis University,mens,599.0,611.0,615.0
253,2,1600m,4:35,4:42,4:49,Brandeis University,mens,275.0,282.0,289.0
254,3,800m,1:58,2:01,2:03,Brandeis University,mens,118.0,121.0,123.0
255,4,400m,52.11,53.57,54.38,Brandeis University,mens,52.11,53.57,54.38
256,5,300m H,40.90,41.83,42.84,Brandeis University,mens,40.9,41.83,42.84
257,6,200m,22.97,23.81,24.43,Brandeis University,mens,22.97,23.81,24.43
258,7,110m H,15.47,16.21,16.81,Brandeis University,mens,15.47,16.21,16.81
259,8,100m,11.56,11.87,12.14,Brandeis University,mens,11.56,11.87,12.14
260,0,5K XC,19:55,21:01,22:13,Brandeis University,womens,1195.0,1261.0,1333.0
261,1,3200m,11:31,11:59,12:26,Brandeis University,womens,691.0,719.0,746.0
262,2,1600m,5:28,5:42,5:54,Brandeis University,womens,328.0,342.0,354.0
263,3,800m,2:29,2:33,2:37,Brandeis University,womens,149.0,153.0,157.0
264,4,400m,1:01,1:02,1:04,Brandeis University,womens,61.0,62.0,64.0
265,5,300m H,49.29,50.05,52.17,Brandeis University,womens,49.29,50.05,52.17
266,6,200m,26.53,27.98,28.97,Brandeis University,womens,26.53,27.98,28.97
267,7,100m,12.96,13.32,13.77,Brandeis University,womens,12.96,13.32,13.77
268,8,100m H,15.86,16.04,16.37,Brandeis University,womens,15.86,16.04,16.37
269,0,5K XC,15:33,15:51,16:15,Brown University,mens,933.0,951.0,975.0
270,1,3200m,9:18,9:31,9:40,Brown University,mens,558.0,571.0,580.0
271,2,1600m,4:16,4:22,4:26,Brown University,mens,256.0,262.0,266.0
272,3,800m,1:55,1:57,1:58,Brown University,mens,115.0,117.0,118.0
273,4,400m,48.96,50.60,52.80,Brown University,mens,48.96,50.6,52.8
274,5,300m H,38.53,39.12,39.64,Brown University,mens,38.53,39.12,39.64
275,6,200m,21.88,22.37,23.13,Brown University,mens,21.88,22.37,23.13
276,7,110m H,14.29,14.44,14.79,Brown University,mens,14.29,14.44,14.79
277,8,100m,10.99,11.13,11.32,Brown University,mens,10.99,11.13,11.32
278,9,Discus,163' 6,148' 4,137' 5,Brown University,mens,1962.0,1780.0,1649.0
279,10,High Jump,6' 6,6' 5,6' 2,Brown University,mens,78.0,77.0,74.0
280,11,Javelin,192' 5,176' 9,155' 2,Brown University,mens,2309.0,2121.0,1862.0
281,12,Long Jump,22' 3,21' 0,19' 10,Brown University,mens,267.0,252.0,238.0
282,13,Shot Put,57' 9,54' 2,46' 10,Brown University,mens,693.0,650.0,562.0
283,14,Triple Jump,46' 3,44' 5,42' 11,Brown University,mens,555.0,533.0,515.0
284,0,5K XC,18:24,19:05,20:00,Brown University,womens,1104.0,1145.0,1200.0
285,1,3200m,10:53,11:07,11:21,Brown University,womens,653.0,667.0,681.0
286,2,1600m,4:59,5:08,5:17,Brown University,womens,299.0,308.0,317.0
287,3,800m,2:12,2:17,2:20,Brown University,womens,132.0,137.0,140.0
288,4,400m,57.51,1:00,1:03,Brown University,womens,57.51,60.0,63.0
289,5,300m H,44.95,46.73,47.95,Brown University,womens,44.95,46.73,47.95
290,6,200m,24.74,25.18,25.53,Brown University,womens,24.74,25.18,25.53
291,7,100m,12.04,12.42,12.76,Brown University,womens,12.04,12.42,12.76
292,8,100m H,14.40,14.80,15.49,Brown University,womens,14.4,14.8,15.49
293,9,Discus,128' 9,120' 5,116' 0,Brown University,womens,1545.0,1445.0,1392.0
294,10,Hammer,140' 1,130' 6,123' 8,Brown University,womens,1681.0,1566.0,1484.0
295,11,High Jump,5' 6,5' 3,5' 0,Brown University,womens,66.0,63.0,60.0
296,12,Long Jump,18' 7,17' 5,16' 7,Brown University,womens,223.0,209.0,199.0
297,13,Pole Vault,12' 1,11' 6,11' 0,Brown University,womens,145.0,138.0,132.0
298,14,Shot Put,39' 5,37' 5,34' 10,Brown University,womens,473.0,449.0,418.0
299,15,Triple Jump,39' 4,37' 1,35' 0,Brown University,womens,472.0,445.0,420.0
300,0,5K XC,15:54,16:23,16:52,Bucknell University,mens,954.0,983.0,1012.0
301,1,3200m,9:27,9:33,9:38,Bucknell University,mens,567.0,573.0,578.0
302,2,1600m,4:20,4:26,4:37,Bucknell University,mens,260.0,266.0,277.0
303,3,800m,1:55,1:58,2:01,Bucknell University,mens,115.0,118.0,121.0
304,4,400m,49.77,51.06,52.80,Bucknell University,mens,49.77,51.06,52.8
305,5,300m H,40.26,40.61,41.31,Bucknell University,mens,40.26,40.61,41.31
306,6,200m,22.32,22.99,23.78,Bucknell University,mens,22.32,22.99,23.78
307,7,110m H,14.84,15.61,16.82,Bucknell University,mens,14.84,15.61,16.82
308,8,100m,11.07,11.33,11.76,Bucknell University,mens,11.07,11.33,11.76
309,9,Discus,157' 7,148' 11,143' 6,Bucknell University,mens,1891.0,1787.0,1722.0
310,10,High Jump,6' 6,6' 4,6' 2,Bucknell University,mens,78.0,76.0,74.0
311,11,Javelin,179' 11,174' 8,172' 1,Bucknell University,mens,2159.0,2096.0,2065.0
312,12,Long Jump,22' 1,20' 10,19' 1,Bucknell University,mens,265.0,250.0,229.0
313,13,Pole Vault,15' 0,14' 2,13' 6,Bucknell University,mens,180.0,170.0,162.0
314,14,Shot Put,51' 0,48' 7,46' 8,Bucknell University,mens,612.0,583.0,560.0
315,15,Triple Jump,44' 6,42' 10,42' 0,Bucknell University,mens,534.0,514.0,504.0
316,0,5K XC,18:54,19:42,20:31,Bucknell University,womens,1134.0,1182.0,1231.0
317,1,3200m,10:55,11:06,11:17,Bucknell University,womens,655.0,666.0,677.0
318,2,1600m,5:01,5:17,5:39,Bucknell University,womens,301.0,317.0,339.0
319,3,800m,2:18,2:26,2:32,Bucknell University,womens,138.0,146.0,152.0
320,4,400m,57.58,59.73,1:01,Bucknell University,womens,57.58,59.73,61.0
321,5,300m H,44.84,47.46,49.50,Bucknell University,womens,44.84,47.46,49.5
322,6,200m,25.54,27.15,28.47,Bucknell University,womens,25.54,27.15,28.47
323,7,100m,12.33,12.93,13.33,Bucknell University,womens,12.33,12.93,13.33
324,8,100m H,14.98,15.92,16.72,Bucknell University,womens,14.98,15.92,16.72
325,9,Discus,123' 3,115' 9,109' 8,Bucknell University,womens,1479.0,1389.0,1316.0
326,10,High Jump,5' 4,5' 1,4' 8,Bucknell University,womens,64.0,61.0,56.0
327,11,Javelin,136' 3,121' 1,107' 8,Bucknell University,womens,1635.0,1453.0,1292.0
