College,Latitude,Longitude,Type,City,State,Locale,Locale (specific),Religious affil,USNews Classification,USNews Rank,number undergraduates,number grad students,percent returning after yr 1,Students per faculty  member,Total apps,Admitted,Enrolled,Draw rate,App fee,percent apps male,percent apps female,Male admit rate (percent) ,Female admit rt,Overall admit rate (percent),Overall yield (percent),percent submitted SAT,SAT 25th percentile,SAT 75th percentile,percent who submitted ACT,ACT 25th,ACT 75th,percent from top tenth of HS class,percent from top quarter,Percent who had unweigted GPA of 4.0,Percent who had unw GPA between 3.75 and 3.99,Percent who had GPA between 3.50 and 3.74,number ED Apps,number ED admits,ED admit rate (percent),Admit rate all non ED-applications,percent of apps filed ED,percent of the class filled with ED applicants,Other yield rate,percent of all other apps who enroll,Offered spot on WL,Accepted WL,Admitted from WL,percent of class from WL,In-state total cost,Out-of-state total cost,Private cost,percent of students received Pell grant,percent received a federal student loan,percent applied for aid,percent qual for aid,Avg percent of need met,percent no need,number full-pay undergrads,percent full-pay,Avg net price for family income <30K,30-48K,48-75K,75-110K,>110K,Median student debt,percent of students with no need who rec merit schol (1st year),Avg merit schol 1st year,percent of students with no need who rec merit schol (after 1st year),Avg merit schol after 1st year,percent of students with no need who receive merit scholarships (total undergrads),Avg merit scholarship (total undergrads),number undergraduates.1,percent of students first-generation,percent of students in-state,percent of students international,percent of students registered with disabilities,percent of students male,percent of students female,percent of students American Indian or Alaskan native,percent Asian,percent Black,percent Hispanic/Latino,percent Native Hawaiian/Pac Islander,percent Two or more races,percent Unknown,percent White,Reported crimes within student housing per 1000 residents,Reported rapes within student housing per 1000 residents,number first-year students whose family income was <30K,30-48K.1,48-75K.,75-110K.1,>110K.1,number Others,4-yr grad rate,5-yr grad rate,6-yr grad rate,Male 6-year graduation rate,Female ,25th percentile,75th percentile,Median salary 10 years after entry
Duke University,36.001465,-78.939133,Private; non-profit,Durham,North Carolina,Large city,Large city,United Methodist,National University,10,6546,10037.0,98,6,49703,2927,1744,10,85,46,54,6.0,6,6,60.0,47.0,1468,1558,46.0,33.0,35.0,95.0,99.0,,,,5060,828.0,16.0,5.0,10.0,47.0,44.0,2.0,0.0,0.0,88.0,5,,,79860.0,13.0,17.0,46.0,38.0,100.0,62.0,4036.0,60.0,2945.0,4301.0,10304.0,18753.0,47805.0,12000.0,13.0,78610.0,0.0,73520.0,4,73520,6546,13.0,14,8,,49,51,1,21,9,10,0,6,5,41,1.0,0.0,39.0,70.0,54.0,54.0,289.0,1238.0,89,95,96,94.0,97.0,50600.0,127600.0,84400.0
Emory University,33.797028,-84.323242,Private; non-profit,Atlanta,Georgia,Large city,Large city,United Methodist,National University,22,7023,7297.0,95,9,33435,4364,1494,3,75,38,62,14.0,12,13,34.0,37.0,1420,1540,27.0,32.0,34.0,,,,,,3213,844.0,26.0,12.0,10.0,56.0,18.0,2.0,6539.0,3883.0,21.0,1,,,75594.0,20.0,25.0,56.0,48.0,99.0,52.0,3154.0,46.0,9311.0,11416.0,15486.0,23426.0,47322.0,15000.0,8.0,22408.0,11.0,28580.0,10,28580,7023,16.0,14,15,8.0,41,59,0,23,9,11,0,4,1,37,1.0,1.0,122.0,76.0,81.0,65.0,182.0,968.0,83,88,90,87.0,92.0,39800.0,89800.0,66000.0
Fordham University,40.861311,-73.885395,Private; non-profit,Bronx,New York,Large city,Large city,Roman Catholic,National University,72,9422,7205.0,91,13,46275,26980,2879,0,70,36,64,52.0,62,58,11.0,26.0,1300,1480,11.0,30.0,33.0,35.0,73.0,19,28,30,295,201.0,68.0,59.0,1.0,7.0,10.0,6.0,8290.0,2648.0,7.0,0,,,81186.0,19.0,44.0,85.0,78.0,68.0,22.0,1387.0,15.0,22402.0,23301.0,31279.0,34099.0,42733.0,22000.0,70.0,21272.0,9.0,19379.0,33,19379,9422,18.0,40,7,8.0,43,57,0,12,4,16,0,4,1,54,1.0,0.0,226.0,110.0,126.0,109.0,676.0,1632.0,78,83,83,83.0,83.0,34900.0,75800.0,59200.0
George Washington University,38.899094,-77.048594,Private; non-profit,Washington,District of Columbia,Large city,Large city,No religious affiliation,National University,62,12031,15330.0,92,13,27236,13539,2571,0,80,35,65,48.0,51,50,19.0,29.0,1310,1490,18.0,30.0,34.0,50.0,83.0,,,,986,646.0,66.0,49.0,4.0,25.0,15.0,7.0,6187.0,2798.0,163.0,6,,,78335.0,14.0,27.0,48.0,42.0,91.0,58.0,3118.0,31.0,13139.0,12510.0,18853.0,23472.0,40379.0,19500.0,54.0,22853.0,45.0,23136.0,47,23136,12031,16.0,2,10,9.0,36,64,0,12,9,12,0,4,4,49,1.0,1.0,147.0,125.0,109.0,101.0,329.0,1760.0,77,82,84,81.0,85.0,41800.0,88600.0,69600.0
Georgetown University,38.907852,-77.072807,Private; non-profit,Washington,District of Columbia,Large city,Large city,Roman Catholic,National University,22,7141,12080.0,97,11,27629,3311,1585,4,75,38,62,13.0,12,12,48.0,64.0,1410,1550,38.0,32.0,35.0,83.0,96.0,,,, ,,,,,,,,3277.0,2543.0,29.0,2,,,81515.0,13.0,21.0,44.0,35.0,100.0,65.0,4724.0,65.0,596.0,3182.0,10579.0,20072.0,42751.0,15000.0,0.0,,0.0,,0,0,7141,16.0,1,15,12.0,44,56,0,12,7,9,0,5,4,48,2.0,1.0,58.0,78.0,59.0,61.0,221.0,1108.0,90,94,95,94.0,96.0,54000.0,127600.0,93500.0
Georgia Institute of Technology-Main Campus,33.775529,-84.396306,Public,Atlanta,Georgia,Large city,Large city,No religious affiliation,National University,44,15174,20338.0,97,19,44048,7030,3453,3,75,67,33,13.0,21,16,49.0,53.0,1310,1500,36.0,30.0,34.0,88.0,98.0,85,11,2, ,,,,,,,,1893.0,1025.0,277.0,5,29802.0,50914.0,,13.0,21.0,71.0,38.0,74.0,62.0,16392.0,58.0,8447.0,11620.0,14821.0,18062.0,19035.0,20735.0,5.0,3878.0,6.0,3188.0,6,3188,15174,15.0,59,9,6.0,61,39,0,26,7,7,0,4,2,44,0.0,0.0,127.0,90.0,84.0,83.0,192.0,2877.0,51,89,92,91.0,93.0,46900.0,89800.0,79100.0
Howard University,38.922584,-77.019448,Private; non-profit,Washington,District of Columbia,Large city,Large city,No religious affiliation,National University,89,6461,2873.0,86,12,29396,10362,2768,1,45,28,72,34.0,36,35,27.0,26.0,1080,1290,10.0,21.0,26.0,27.0,59.0,7,31,30,441,218.0,49.0,35.0,2.0,8.0,25.0,9.0,2377.0,2377.0,0.0,0,,,48214.0,42.0,51.0,97.0,83.0,61.0,17.0,427.0,5.0,42609.0,44107.0,46678.0,48951.0,49240.0,19500.0,94.0,14632.0,55.0,12253.0,69,12253,6461,24.0,0,4,8.0,28,72,2,3,67,7,0,4,13,1,1.0,0.0,488.0,287.0,304.0,221.0,344.0,1124.0,53,62,64,60.0,65.0,26400.0,64100.0,49200.0
Johns Hopkins University,39.328888,-76.620277,Private; non-profit,Baltimore,Maryland,Large city,Large city,No religious affiliation,National University,7,5729,20823.0,97,6,39515,2972,1420,6,70,43,57,7.0,8,8,48.0,,0,0,,,,,,,,,5533,849.0,15.0,6.0,14.0,55.0,30.0,2.0,3724.0,2611.0,2.0,0,,,77977.0,17.0,8.0,63.0,54.0,98.0,46.0,2251.0,39.0,-2634.0,-722.0,3586.0,8797.0,28167.0,13750.0,11.0,30360.0,12.0,28223.0,12,28223,5729,13.0,11,12,9.0,45,55,0,26,8,16,0,7,3,28,0.0,0.0,45.0,100.0,70.0,80.0,238.0,887.0,87,93,95,93.0,96.0,46900.0,97500.0,73200.0
Lewis & Clark College,45.450276,-122.670787,Private; non-profit,Portland,Oregon,Large city,Large city,No religious affiliation,National Liberal Arts College,94,1901,1288.0,86,11,5519,4385,677,0,0,34,66,75.0,82,79,15.0,16.0,1240,1420,11.0,27.0,32.0,,,49,18,16,57,49.0,86.0,75.0,3.0,21.0,13.0,10.0,386.0,132.0,2.0,1,,,74452.0,20.0,65.0,71.0,61.0,83.0,39.0,38.0,2.0,23368.0,20075.0,28328.0,32031.0,42968.0,18500.0,97.0,26699.0,95.0,24889.0,95,24889,1901,17.0,13,5,15.0,38,62,0,4,2,13,0,9,2,65,2.0,1.0,57.0,38.0,28.0,48.0,233.0,273.0,67,74,74,72.0,75.0,26800.0,58300.0,46200.0
Loyola Marymount University,33.970803,-118.417861,Private; non-profit,Los Angeles,California,Large city,Large city,Roman Catholic,National University,77,6638,3044.0,89,10,19045,8727,1610,0,60,40,60,46.0,46,46,18.0,18.0,1250,1420,14.0,28.0,32.0,37.0,72.0,36,25,22,745,248.0,33.0,46.0,4.0,15.0,16.0,7.0,5114.0,0.0,172.0,11,,,72936.0,14.0,32.0,68.0,46.0,65.0,54.0,842.0,13.0,28383.0,22329.0,31532.0,30217.0,38505.0,18000.0,100.0,11616.0,66.0,12093.0,74,12093,6638,22.0,60,10,8.0,46,54,0,10,7,23,0,7,0,43,2.0,1.0,83.0,41.0,37.0,60.0,345.0,1044.0,72,78,79,78.0,79.0,35300.0,75500.0,61300.0
Loyola University Chicago,41.998900,-87.658463,Private; non-profit,Chicago,Illinois,Large city,Large city,Roman Catholic,National University,115,12104,4919.0,85,14,37824,29117,2867,0,0,31,69,73.0,79,77,10.0,23.0,1160,1360,22.0,27.0,32.0,39.0,72.0,44,22,17, ,,,,,,,,0.0,0.0,0.0,0,,,65788.0,23.0,48.0,74.0,61.0,85.0,39.0,367.0,3.0,20824.0,23409.0,25510.0,28987.0,31114.0,19500.0,98.0,20891.0,89.0,19683.0,91,19683,12104,28.0,57,4,14.0,33,67,0,13,5,18,0,5,2,54,1.0,0.0,205.0,188.0,134.0,198.0,495.0,1647.0,65,71,72,70.0,73.0,33200.0,67600.0,54100.0
Loyola University New Orleans,29.934472,-90.121132,Private; non-profit,New Orleans,Louisiana,Large city,Large city,Roman Catholic,National University,202,3043,1195.0,78,13,7455,5835,928,0,0,30,70,76.0,79,78,16.0,,0,0,,,,35.0,49.0,15,16,18, ,,,,,,,,,,,,,,61980.0,36.0,59.0,83.0,73.0,77.0,27.0,160.0,5.0,18458.0,17773.0,20383.0,24449.0,28230.0,18406.0,88.0,23781.0,76.0,22278.0,79,22278,3043,19.0,47,2,15.0,34,66,0,3,18,19,0,5,6,45,1.0,0.0,140.0,100.0,95.0,74.0,152.0,367.0,54,61,62,60.0,64.0,22800.0,56100.0,47100.0
Macalester College,44.937756,-93.168609,Private; non-profit,Saint Paul,Minnesota,Large city,Large city,Presbyterian Church (USA),National Liberal Arts College,27,2079,,93,10,9046,2828,601,1,40,41,59,31.0,32,31,21.0,35.0,1340,1515,39.0,29.0,33.0,66.0,91.0,,,,305,148.0,49.0,31.0,3.0,25.0,17.0,5.0,1218.0,535.0,0.0,0,,,76357.0,22.0,39.0,73.0,65.0,97.0,35.0,329.0,15.0,11680.0,11010.0,17727.0,23983.0,39494.0,19473.0,67.0,19055.0,55.0,17159.0,58,17159,2079,13.0,15,14,18.0,41,59,0,9,5,11,0,8,0,53,7.0,4.0,61.0,50.0,34.0,45.0,83.0,328.0,85,88,90,88.0,91.0,23400.0,55800.0,47600.0
Marquette University,43.038625,-87.931015,Private; non-profit,Milwaukee,Wisconsin,Large city,Large city,Roman Catholic,National University,83,8259,3304.0,90,13,16270,14034,1657,0,0,43,57,85.0,87,86,12.0,13.0,1180,1360,37.0,25.0,30.0,39.0,75.0,,,, ,,,,,,,,567.0,567.0,108.0,7,,,63262.0,19.0,44.0,75.0,60.0,81.0,40.0,177.0,2.0,16410.0,17219.0,22317.0,28638.0,37179.0,20686.0,97.0,19611.0,93.0,16564.0,94,16564,8259,19.0,35,2,9.0,45,55,0,7,4,15,0,3,1,69,0.0,0.0,132.0,135.0,105.0,135.0,483.0,667.0,64,80,81,77.0,85.0,39300.0,76100.0,62600.0
Morehouse College,33.7473,-84.4155,Private; non-profit,Atlanta,Georgia,Large city,Large city,No religious affiliation,National Liberal Arts College,124,2238,,83,15,3777,2462,629,0,50,99,1,65.0,33,65,26.0,0.0,0,0,15.0,20.0,26.0,,,,,, ,,,,,,,,,,,,,,49700.0,46.0,54.0,,,,,,,19893.0,20450.0,26380.0,29285.0,31204.0,15976.0,,,,, , ,2238,20.0,27,1,17.0,100,0,0,0,74,0,0,2,23,0,11.0,0.0,136.0,87.0,79.0,47.0,69.0,211.0,33,43,47,47.0,,19200.0,56100.0,41800.0
New York University,40.729675,-73.996925,Private; non-profit,New York,New York,Large city,Large city,No religious affiliation,National University,25,26613,25904.0,94,8,95517,12380,6097,4,80,38,62,13.0,13,13,49.0,23.0,1450,1570,9.0,32.0,35.0,,,21,24,40, ,,,,,,,,,,,,,,79746.0,18.0,26.0,,,,,,,23476.0,24529.0,30866.0,39359.0,55962.0,19000.0,,,,, , ,26613,21.0,29,24,9.0,43,57,0,19,8,16,0,4,5,23,0.0,0.0,575.0,361.0,319.0,305.0,1052.0,3485.0,78,85,87,85.0,88.0,33600.0,84200.0,61900.0
North Carolina State University at Raleigh,35.784550,-78.682105,Public,Raleigh,North Carolina,Large city,Large city,No religious affiliation,National University,72,24239,10331.0,94,14,32998,15669,5046,1,85,47,53,42.0,53,47,32.0,21.0,1270,1440,34.0,27.0,32.0,47.0,83.0,19,51,25, ,,,,,,,,7289.0,2340.0,14.0,0,24986.0,45771.0,,19.0,35.0,70.0,44.0,76.0,56.0,11350.0,48.0,5784.0,8687.0,13394.0,19704.0,23205.0,18000.0,10.0,5667.0,14.0,5042.0,13,5042,24239,19.0,88,3,6.0,52,48,0,8,6,7,0,4,4,68,1.0,0.0,341.0,312.0,237.0,346.0,724.0,3086.0,64,83,85,82.0,87.0,31400.0,66500.0,52500.0
Northeastern University,42.339825,-71.090007,Private; non-profit,Boston,Massachusetts,Large city,Large city,No religious affiliation,National University,44,14034,8005.0,99,14,75244,13829,4504,2,75,43,57,16.0,20,18,33.0,28.0,1430,1550,14.0,33.0,35.0,76.0,95.0,,,,1979,1014.0,51.0,17.0,3.0,23.0,27.0,5.0,,,,,,,78202.0,11.0,33.0,47.0,32.0,84.0,68.0,7666.0,40.0,13099.0,12743.0,16922.0,25113.0,46702.0,23000.0,59.0,19927.0,38.0,14800.0,41,14800,14034,19.0,24,16,,49,51,0,17,4,9,0,5,3,45,1.0,1.0,180.0,167.0,135.0,195.0,915.0,,0,88,91,90.0,92.0,39700.0,82600.0,67400.0
Occidental College,34.127173,-118.210531,Private; non-profit,Los Angeles,California,Large city,Large city,No religious affiliation,National Liberal Arts College,37,1970,,93,8,6495,2484,535,1,70,40,60,34.0,41,38,22.0,29.0,1340,1490,22.0,30.0,33.0,59.0,89.0,7,31,33,356,209.0,59.0,37.0,5.0,39.0,14.0,5.0,1569.0,747.0,69.0,13,,,77878.0,18.0,33.0,67.0,56.0,100.0,44.0,469.0,26.0,13983.0,13285.0,14770.0,21467.0,44948.0,20050.0,44.0,13045.0,39.0,13406.0,40,13406,1970,18.0,46,6,17.0,41,59,0,15,4,16,0,10,1,47,4.0,3.0,28.0,29.0,25.0,34.0,102.0,317.0,79,83,83,84.0,82.0,31900.0,64400.0,50600.0
Ohio State University-Main Campus,40.007478,-83.030248,Public,Columbus,Ohio,Large city,Large city,No religious affiliation,National University,49,45657,14573.0,94,19,58180,33269,8423,0,60,48,52,55.0,59,57,25.0,21.0,1250,1440,64.0,26.0,32.0,55.0,90.0,,,,,,,,,,,,854.0,207.0,0.0,0,29022.0,52105.0,,20.0,31.0,67.0,44.0,72.0,56.0,13994.0,33.0,7759.0,8932.0,14619.0,22494.0,26051.0,15000.0,46.0,6753.0,39.0,7124.0,40,7124,45657,26.0,74,7,,50,50,0,8,7,5,0,4,3,66,3.0,2.0,514.0,518.0,369.0,496.0,1254.0,5272.0,67,86,88,86.0,90.0,27500.0,60400.0,46100.0
Reed College,45.4811,-122.6308,Private; non-profit,Portland,Oregon,Large city,Large city,No religious affiliation,National Liberal Arts College,72,1429,14.0,91,9,7010,3071,502,0,0,38,62,40.0,46,44,16.0,,0,0,,,,43.0,75.0,,,,281,122.0,43.0,44.0,4.0,24.0,13.0,6.0,3285.0,1066.0,1.0,0,,,80970.0,11.0,38.0,62.0,57.0,100.0,43.0,644.0,43.0,14733.0,8845.0,19868.0,30126.0,44496.0,15000.0,0.0,,0.0,,0,0,1429,,10,11,22.0,47,53,0,7,1,11,0,10,2,58,4.0,1.0,17.0,24.0,10.0,25.0,95.0,331.0,61,71,73,67.0,77.0,20700.0,52000.0,42200.0
Rhodes College,35.155488,-89.989361,Private; non-profit,Memphis,Tennessee,Large city,Large city,Presbyterian Church (USA),National Liberal Arts College,55,1941,37.0,92,9,5318,3025,592,0,0,52,48,40.0,75,57,20.0,12.0,1330,1490,32.0,28.0,32.0,53.0,86.0,61,17,11,322,208.0,65.0,56.0,6.0,35.0,14.0,8.0,1380.0,687.0,1.0,0,,,66588.0,15.0,26.0,70.0,50.0,92.0,50.0,595.0,30.0,14649.0,14875.0,23845.0,26499.0,35698.0,19500.0,72.0,27640.0,29.0,27019.0,40,27019,1941,13.0,26,6,16.0,40,60,0,7,10,6,0,5,1,64,3.0,2.0,30.0,30.0,28.0,28.0,111.0,365.0,82,85,85,82.0,88.0,32000.0,66800.0,53600.0
Rice University,29.717154,-95.404182,Private; non-profit,Houston,Texas,Large city,Large city,No religious affiliation,National University,15,3978,3293.0,98,6,29544,2802,1226,5,75,49,51,9.0,10,9,44.0,46.0,1490,1570,29.0,34.0,35.0,92.0,98.0,,,,2635,478.0,18.0,9.0,9.0,38.0,33.0,3.0,3016.0,2118.0,2.0,0,,,71745.0,16.0,7.0,71.0,46.0,100.0,54.0,2082.0,49.0,5578.0,5959.0,6320.0,18315.0,46926.0,10250.0,8.0,17455.0,9.0,18697.0,8,18697,3978,14.0,45,12,8.0,52,48,0,27,8,16,0,5,1,31,4.0,3.0,71.0,55.0,44.0,23.0,69.0,964.0,87,91,92,91.0,94.0,42600.0,94000.0,65400.0
Saint Louis University,38.634681,-90.233727,Private; non-profit,Saint Louis,Missouri,Large city,Large city,Roman Catholic,National University,105,7127,4467.0,91,9,15047,10540,1794,0,0,38,62,69.0,71,70,17.0,9.0,1220,1430,26.0,27.0,32.0,,,,,,,,,,,,,,,,,,,,66980.0,19.0,43.0,72.0,61.0,79.0,39.0,466.0,6.0,21954.0,22367.0,24051.0,26850.0,31569.0,20500.0,89.0,24052.0,81.0,21952.0,83,21952,7127,22.0,34,4,5.0,39,61,0,11,6,7,0,4,1,66,3.0,1.0,113.0,122.0,85.0,144.0,397.0,933.0,73,79,80,76.0,82.0,34300.0,68500.0,56500.0
